"time","model","forecast","upper80","upper95","lower80","lower95"
2014-01-01,"TBATS",17429.4068245945,18081.1054937833,18426.093930072,16777.7081554058,16432.7197191171
2014-02-01,"TBATS",15493.1927097142,15924.3705665821,16152.6223363583,15062.0148528463,14833.76308307
2014-03-01,"TBATS",16675.3667400125,17118.0262193152,17352.3559928639,16232.7072607097,15998.3774871611
2014-04-01,"TBATS",17430.2283851676,17859.4467398114,18086.6612117686,17001.0100305238,16773.7955585666
2014-05-01,"TBATS",16947.2640462311,17369.7965590471,17593.4717601318,16524.7315334152,16301.0563323304
2014-06-01,"STLF",15433.037189934,15857.5474032319,16082.2695357114,15008.5269766361,14783.8048441566
2014-07-01,"STLF",15580.3458767831,16275.8033654403,16643.9563214924,14884.888388126,14516.7354320739
2014-08-01,"5-MA",16214.4035760022,16536.1611034354,16706.4892497111,15892.6460485691,15722.3179022934
2014-09-01,"NN",17354.5387997555,17354.5387997555,17354.5387997555,17354.5387997555,17354.5387997555
2014-10-01,"COMBINED",18816.1116704285,18816.1116704285,18816.1116704285,18816.1116704285,18816.1116704285
2014-11-01,"COMBINED",15966.6435091604,15966.6435091604,15966.6435091604,15966.6435091604,15966.6435091604
2014-12-01,"COMBINED",16947.5813784898,16947.5813784898,16947.5813784898,16947.5813784898,16947.5813784898
2015-01-01,"COMBINED",16602.2152488993,16602.2152488993,16602.2152488993,16602.2152488993,16602.2152488993
2015-02-01,"COMBINED",16039.2462885826,16039.2462885826,16039.2462885826,16039.2462885826,16039.2462885826
2015-03-01,"COMBINED",17365.4889926335,17365.4889926335,17365.4889926335,17365.4889926335,17365.4889926335
2015-04-01,"COMBINED",15642.2917330757,15642.2917330757,15642.2917330757,15642.2917330757,15642.2917330757
2015-05-01,"ARIMAX",16160.7581053032,16160.7581053032,16160.7581053032,16160.7581053032,16160.7581053032
2015-06-01,"SNAIVE",18543.8,20162.5000137492,21019.3880403257,16925.0999862508,16068.2119596743
2015-07-01,"ARIMAX",15452.8941556564,15452.8941556564,15452.8941556564,15452.8941556564,15452.8941556564
2015-08-01,"ARIMAX",16440.2245826887,16440.2245826887,16440.2245826887,16440.2245826887,16440.2245826887
2015-09-01,"STLF",17324.8501093282,17928.7981704175,18248.5089616857,16720.9020482388,16401.1912569706
2015-10-01,"DYNREG",16933.4699195503,17666.1679665223,17100.7690707321,15737.4204519877,15172.0215561975
2015-11-01,"ARIMAX",15524.3725331426,15524.3725331426,15524.3725331426,15524.3725331426,15524.3725331426
2015-12-01,"ARIMAX",16907.4232890493,16907.4232890493,16907.4232890493,16907.4232890493,16907.4232890493
2016-01-01,"DYNREG",16410.3274658426,17255.5721945187,15589.4610834076,15578.210993689,13912.0998825779
2016-02-01,"DYNREG",15487.4021196933,16365.0392387955,16445.4331781894,14544.5831088225,14624.9770482165
2016-03-01,"DYNREG",15728.3177771444,16511.5585720061,17981.9409484017,14683.6016543998,16153.9840307954
2016-04-01,"DYNREG",16371.7633959549,17368.1989928235,17471.6025015954,15598.3991114623,15701.8026202342
2016-05-01,"DYNREG",16326.7057180702,17459.5730510307,15971.8154752731,15674.5338251849,14186.7762494273
2016-06-01,"DYNREG",17113.5551185364,17649.8970730388,16106.0753339083,15735.937157465,14192.1154183346
2016-07-01,"DYNREG",14518.9219032529,15333.4753957796,17312.2522073738,13471.2771404523,15450.0539520465
2016-08-01,"5-MA",17004.0236067724,17323.2742536791,17492.2753375658,16684.7729598657,16515.7718759789
2016-09-01,"DYNREG",16828.5400989032,17512.114995534,16575.3941786697,15643.9825999864,14707.2617831222
2016-10-01,"COMBINED",16030.1564876149,16030.1564876149,16030.1564876149,16030.1564876149,16030.1564876149
2016-11-01,"DYNREG",15939.4636981934,16903.8018831216,17393.6018831216,14909.6010499356,15399.4010499357
2016-12-01,"COMBINED",16262.6897794493,16262.6897794493,16262.6897794493,16262.6897794493,16262.6897794493
2017-01-01,"COMBINED",16246.3026189079,16246.3026189079,16246.3026189079,16246.3026189079,16246.3026189079
2017-02-01,"COMBINED",15070.479342089,15070.479342089,15070.479342089,15070.479342089,15070.479342089
2017-03-01,"COMBINED",17404.0743809995,17404.0743809995,17404.0743809995,17404.0743809995,17404.0743809995
2017-04-01,"COMBINED",14078.9412647835,14078.9412647835,14078.9412647835,14078.9412647835,14078.9412647835
2017-05-01,"STLF",16728.7453425153,17325.9182743069,17642.0425287711,16131.5724107238,15815.4481562595
2017-06-01,"COMBINED",15567.3488147152,15567.3488147152,15567.3488147152,15567.3488147152,15567.3488147152
2017-07-01,"STLF",14412.2192059074,14977.4523805847,15276.6687489611,13846.9860312301,13547.7696628538
2017-08-01,"COMBINED",16777.204066844,16777.204066844,16777.204066844,16777.204066844,16777.204066844
2017-09-01,"STLF",15900.717512286,16415.2404287038,16687.6124079049,15386.1945958681,15113.822616667
2017-10-01,"STLF",16290.5773126836,16852.0506117513,17149.2766222084,15729.1040136159,15431.8780031588
2017-11-01,"STLF",16035.0708215834,16617.6655856886,16926.0726243416,15452.4760574781,15144.0690188251
2017-12-01,"STLF",14134.529333772,14600.0771858205,14846.5233320059,13668.9814817235,13422.5353355381
2018-01-01,"STLF",16176.7662661646,16700.0047489296,16976.9904702596,15653.5277833997,15376.5420620696
2018-02-01,"STLF",14875.2251028315,15454.2659112736,15760.7915994423,14296.1842943894,13989.6586062207
2018-03-01,"STLF",16064.9403155228,16672.5996413101,16994.2750574353,15457.2809897355,15135.6055736102
2018-04-01,"STLF",15368.848670321,15858.5143879109,16117.7277609039,14879.1829527312,14619.9695797382
2018-05-01,"STL",16611.8414901827,17108.2873427395,17371.0899023775,16115.395637626,15852.593077988
2018-06-01,"STL",15653.1858916877,16124.9123268467,16374.62921736,15181.4594565287,14931.7425660153
2018-07-01,"STL",15389.052173859,15894.0189835756,16161.3322654619,14884.0853641423,14616.772082256
2018-08-01,"STL",17018.7039129431,17524.4016281782,17792.101828074,16513.0061977081,16245.3059978123
2018-09-01,"STL",14873.9995293113,15304.1019721136,15531.7844520717,14443.897086509,14216.2146065508
2018-10-01,"STL",17844.7392576431,18365.015980547,18640.433840914,17324.4625347392,17049.0446743722
2018-11-01,"STL",16646.0142396251,17141.4582622316,17403.7304851292,16150.5702170186,15888.297994121
2018-12-01,"STL",14409.4461719161,14835.8279503081,15061.5408295021,13983.064393524,13757.3515143301
2019-01-01,"STLF",16443.1601942082,16937.9569162251,17199.8864788892,15948.3634721912,15686.4339095271
2019-02-01,"STLF",15155.3920099424,15676.2364357621,15951.9548198995,14634.5475841227,14358.8291999853
2019-03-01,"STL",16450.1635072049,17002.026994915,17294.1658785295,15898.3000194948,15606.1611358802
2019-04-01,"STLF",15047.1380894491,15540.8991488816,15802.2804648906,14553.3770300165,14291.9957140076
2019-05-01,"ETS",17269.5235470449,18021.0921733148,18418.9485713694,16517.954920775,16120.0985227204
2019-06-01,"ETS",14551.4714769487,15522.480152572,16036.5010957834,13580.4628013253,13066.441858114
2019-07-01,"TBATS",16100.7546867771,16734.699726654,17070.2899592876,15466.8096469002,15131.2194142667
2019-08-01,"ETS",16104.3376956262,17173.0291600609,17738.7602480947,15035.6462311915,14469.9151431577
2019-09-01,"TBATS",15652.2283354434,16206.0068974683,16499.1595601873,15098.4497734186,14805.2971106996
2019-10-01,"TBATS",17732.3815450861,18340.2696765226,18662.0662150421,17124.4934136495,16802.69687513
2019-11-01,"TBATS",15891.3548559874,16458.1673793765,16758.2198044585,15324.5423325984,15024.4899075164
2019-12-01,"SNAIVE",16014.7368421053,16870.1572979721,17322.9895337754,15159.3163862384,14706.4841504351
2020-01-01,"SNAIVE",18126,19032.5547541361,19512.4558523366,17219.4452458639,16739.5441476634
2020-02-01,"ARIMAX",14868.3333333323,14868.3333333323,14868.3333333323,14868.3333333323,14868.3333333323
2020-03-01,"ARIMAX",16245.4437543159,16245.4437543159,16245.4437543159,16245.4437543159,16245.4437543159
2020-04-01,"ARIMAX",15285.2407407402,15285.2407407402,15285.2407407402,15285.2407407402,15285.2407407402
2020-05-01,"ARIMAX",13667.9471461055,13667.9471461055,13667.9471461055,13667.9471461055,13667.9471461055
2020-06-01,"STL",12953.8467796406,13781.4156457193,14219.504140491,12126.2779135619,11688.1894187902
